0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:51 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:22 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:22 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:22 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:23 +0300] "GET /web_api/meetings/getMeetingsByUserId/1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:23 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:33:25 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:35:57 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:35:57 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:35:57 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:35:59 +0300] "GET /web_api/meetings/getMeetingsByUserId/1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:35:59 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:00 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:36:06 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:40:00 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:40:00 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
